ID,Title,Region,Media_ID,Box_ID,Genre,Released
0001,Dream C Club Zero Portable,JP,PCSG-00026,VLJS-05002,Simulation » General,2011-12-17
0001,AR Combat DigiQ: Tomodachi Senshatai,JP,PCSG-00013,,Action » General,2011-12-17
0002,Dark Quest: Alliance,JP,PCSG-00017,VLJM-30004,Role-Playing » Action RPG,2011-12-17
0002,Sawari Makuru!,JP,PCSC-00007,,Action » Platformer » 3D,2011-12-17
0003,Makai Senki Disgaea 3 Return,JP,PCSG-00005,VLJS-00002,Strategy » Turn-Based,2011-12-17
0003,Star Strike Delta,JP,PCSC-00008,,Action » Shooter,2012-01-19
0004,Katamari Damacy No-Vita,JP,PCSG-00018,VLJS-00003,Action » Platformer » 3D,2011-12-17
0004,Assault Armies,JP,PCSG-00036,,Action » General,2012-02-01
0005,Shinobido 2: Sange,JP,PCSG-00019,VLJS-00005,Action Adventure,2011-12-17
0005,Nikoli no Puzzle V: Sudoku,JP,PCSG-00045,,Miscellaneous » Puzzle,2012-02-08
0006,Monster Radar,JP,PCSG-00024,VLJS-05001,Action » General,2011-12-17
0006,Escape Plan,US,PCSA-00004,,Miscellaneous » Puzzle,2012-02-15
0007,Shin Kamaitachi no Yoru: 11 Ninme no Suspect,JP,PCSG-00010,VLJS-00006,Adventure » General,2011-12-17
0007,Super Stardust Delta,US,PCSA-00006,,Action » Shooter,2012-02-15
0008,Jigoku no Gundan: Army Corps of Hell,JP,PCSG-00023,VLJM-30006,Strategy » Real-Time,2011-12-17
0008,Hustle Kings,US,PCSA-00007,,Miscellaneous » Parlor,2012-02-21
0009,Uncharted: Chizu no Bouken no Hajimari,JP,PCSC-00005,VCJS-15001,Action Adventure,2011-12-17
0009,Plants vs. Zombies,US,PCSE-00064,,Strategy » General,2012-02-21
0010,Lord of Apocalypse,JP,PCSG-00008,VLJM-30005,Role-Playing » Action RPG,2011-12-17
0010,Tales From Space: Mutant Blobs Attack,US,PCSE-00034,,Action » Platformer » 2D,2012-02-21
0011,Michael Jackson The Experience HD,JP,PCSG-00016,VLJM-30003,Miscellaneous » Rhythm,2011-12-17
0011,Cliff Diving,US,PCSA-00038,,Sports » General,2012-02-22
0012,Power Smash 4,JP,PCSG-00006,VLJM-30002,Sports » Traditional » Tennis,2011-12-17
0012,Fireworks,US,PCSA-00037,,Miscellaneous » General,2012-02-22
0013,Shin Sangoku Musou Next,JP,PCSG-00002,VLJM-30001,Action » Beat-'Em-Up,2011-12-17
0013,StarDrone Extreme,US,PCSE-00029,,Action » General,2012-02-22
0014,Minna no Golf 6,JP,PCSC-00001,VCJS-10001,Sports » Traditional » Golf,2011-12-17
0014,Table Soccer,US,PCSA-00035,,Sports » General,2012-02-22
0015,Ridge Racer,JP,PCSG-00001,VLJS-00001,Driving » Racing,2011-12-17
0015,A-Men,EU,PCSB-00056,,Action » General,2012-02-22
0016,Ultimate Marvel vs. Capcom 3,JP,PCSG-00011,VLJM-35004,Action » Fighting » 2D,2011-12-17
0016,Cliff Diving,EU,PCSF-00033,,Sports » General,2012-02-22
0017,BlazBlue: Continuum Shift Extend,JP,PCSG-00003,VLJM-35003,Action » Fighting » 2D,2011-12-17
0017,Escape Plan,EU,PCSF-00023,,Miscellaneous » Puzzle,2012-02-22
0018,Mahjong Fight Club: Shinsei Zenkoku Taisen Han,JP,PCSG-00029,VLJM-30010,Miscellaneous » Board Games,2011-12-17
0018,Fireworks,EU,PCSF-00035,,Miscellaneous » General,2012-02-22
0019,Asphalt: Injection,JP,PCSG-00012,VLJM-30009,Driving » General,2011-12-17
0019,Frobisher Says!,EU,PCSF-00043,,Miscellaneous » Compilation,2012-02-22
0020,F1 2011,JP,PCSG-00021,VLJM-30008,Driving » Racing,2011-12-17
0020,Hustle Kings,EU,PCSF-00010,,Miscellaneous » Parlor,2012-02-22
0021,WipEout 2048,JP,PCSC-00006,VCJS-10002,Driving » Racing,2012-01-19
0021,MotorStorm RC,EU,PCSF-00046,,Driving » Racing,2012-02-22
0022,Tales of Innocence R,JP,PCSG-00009,VLJS-00004,Role-Playing » Console-style RPG,2012-01-26
0022,Plants vs. Zombies,EU,PCSF-00105,,Strategy » General,2012-02-22
0023,Ragnarok Odyssey,JP,PCSG-00025,VLJS-00008,Role-Playing » Action RPG,2012-02-02
0023,Super Stardust Delta,EU,PCSF-00019,,Action » Shooter,2012-02-22
0024,Gravity Daze,JP,PCSC-00002,VCJS-10003,Action » Platformer » 3D,2012-02-09
0024,Table Football,EU,PCSF-00062,,Sports » General,2012-02-22
0025,Sumioni,JP,PCSG-00038,VLJM-30011,Role-Playing » General,2012-02-09
0025,Tales From Space: Mutant Blobs Attack,EU,PCSB-00096,,Action » Platformer » 2D,2012-02-22
0026,Asphalt: Injection,US,PCSE-00007,,Driving » General,2012-02-15
0026,Top Darts,EU,PCSF-00011,,Sports » Alternative,2012-02-22
0027,Ben 10: Galactic Racing,US,PCSE-00024,,Driving » Racing,2012-02-15
0027,Escape Plan,JP,PCSC-00012,,Miscellaneous » Puzzle,2012-02-23
0028,BlazBlue: Continuum Shift Extend,US,PCSE-00018,,Action » Fighting » 2D,2012-02-15
0028,MotorStorm RC,US,PCSA-00034,,Driving » Racing,2012-03-06
0029,Dungeon Hunter: Alliance,US,PCSE-00008,,Role-Playing » Action RPG,2012-02-15
0029,Sumioni: Demon Arts,US,PCSE-00062,,Role-Playing » General,2012-03-20
0030,F1 2011,US,PCSE-00002,,Driving » Racing,2012-02-15
0030,Treasures of Montezuma Blitz,EU,PCSB-00060,,Miscellaneous » Puzzle,2012-03-21
